,poste,Departement,experience,Contrat,Statut,dureeTravail_annuelle,bac+,Anglais,langages_programmation,langages_Web,bases_donnees,BI_soft,Salaire_Annuel
8,developpeur big data,79,5.0,cdi,9.0,1540.0,5.0,0,1,0,1,1,60000.0
10,data engineer,33,2.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,39000.0
18,data engineer,79,5.0,cdi,9.0,1540.0,5.0,0,1,0,0,1,39000.0
20,developpeur big data,33,2.0,cdi,8.0,1708.52,3.0,0,0,0,0,0,37500.0
22,developpeur big data,33,8.0,cdi,9.0,1540.0,5.0,1,1,1,1,0,65000.0
23,data analyst,33,5.0,cdi,9.0,1540.0,4.0,1,1,0,1,1,45000.0
25,data analyst,33,2.0,cdi,8.0,1708.52,3.0,0,1,0,1,1,36000.0
27,data analyst,33,2.0,cdi,9.0,1716.0,3.0,0,1,0,1,1,31500.0
30,consultant data,64,1.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,30000.0
31,data engineer,33,2.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,42500.0
35,developpeur big data,33,4.0,cdi,9.0,1540.0,5.0,1,1,0,1,1,52500.0
37,consultant data,47,3.0,cdd,5.0,1540.0,2.0,1,0,0,0,0,23400.0
38,developpeur big data,33,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,72500.0
39,data analyst,79,4.0,cdi,9.0,1540.0,4.0,0,0,0,0,1,44000.0
40,data manager,33,1.0,cdd,8.0,1694.0,3.0,0,0,0,0,0,28566.0
41,data manager,33,3.0,cdi,9.0,1694.0,5.0,0,1,0,0,0,45000.0
42,developpeur big data,33,0.0,cdi,9.0,1694.0,5.0,0,1,0,1,1,40000.0
44,data analyst,87,5.0,cdd,9.0,1540.0,5.0,0,0,0,0,1,33000.0
59,data scientist,87,5.0,cdd,9.0,1540.0,3.0,0,0,0,0,0,37000.0
61,data manager,87,5.0,cdd,9.0,1540.0,5.0,0,0,0,0,1,50500.0
0,data analyst,34,0.0,cdi,6.0,1540.0,3.0,0,0,0,0,0,27750.0
12,data analyst,81,1.0,mis,8.0,1540.0,4.0,1,1,0,0,0,29000.0
14,data engineer,34,1.0,cdi,8.0,1628.0,3.0,1,0,0,0,0,29500.0
22,data analyst,81,1.0,mis,8.0,1540.0,3.0,0,1,0,0,0,33000.0
23,developpeur big data,31,2.0,cdi,8.0,1540.0,3.0,1,1,0,1,0,42500.0
27,developpeur big data,31,0.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,42500.0
32,developpeur big data,31,0.0,cdi,9.0,1540.0,5.0,1,0,0,1,0,30000.0
33,data engineer,66,0.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,45000.0
43,developpeur big data,31,0.0,cdi,9.0,1540.0,5.0,0,0,0,1,1,31000.0
44,developpeur big data,31,2.0,cdi,9.0,1628.0,5.0,1,1,0,0,1,36000.0
48,data scientist,66,2.0,cdi,8.0,1540.0,5.0,1,1,1,1,0,34500.0
50,data engineer,31,0.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,35000.0
